case_type,pending_days,evidence_pages,witness_count,priority_level,judge_load,delay_risk
Corporate,2153,4483,21,High,25,0
Tax,523,1026,16,Medium,110,0
Civil,1741,1012,47,Medium,101,0
Family,2194,4711,3,Medium,18,0
Corporate,309,1916,1,Critical,17,0
Criminal,775,3085,13,Critical,34,0
Family,2841,2768,32,Medium,83,0
Property,2372,2681,12,Critical,49,0
Civil,1504,2998,31,Low,76,0
Family,1887,1843,41,Low,32,0
Family,1571,3427,2,Critical,71,0
Property,1126,4526,41,Medium,32,0
Corporate,2919,4502,8,Medium,53,0
Criminal,1089,1768,25,Medium,65,0
Property,1952,2681,5,Medium,77,0
Criminal,2035,38,45,Critical,32,0
Corporate,526,3378,2,High,18,0
Family,2283,295,42,High,13,0
Criminal,2503,4098,38,Medium,43,0
Civil,73,4774,39,Medium,112,0
Civil,1881,2965,3,Medium,91,0
Property,2682,4667,46,High,43,0
Corporate,483,4794,48,Low,107,0
Property,624,4718,38,High,51,0
Property,1386,384,22,Critical,12,0
Tax,536,1993,40,High,92,0
Property,823,814,33,Critical,43,0
Tax,50,609,32,Medium,99,0
Civil,1429,4314,47,Critical,108,0
Civil,2697,4333,17,Medium,114,0
Property,2491,760,18,Low,116,0
Civil,1124,4765,3,Medium,104,0
Corporate,1457,2214,6,Medium,52,0
Tax,1615,689,49,Low,100,0
Tax,1844,1457,13,Medium,76,0
Property,1450,4780,31,Medium,46,0
Civil,366,875,17,Medium,21,0
Criminal,1697,2397,21,High,96,0
Tax,939,4053,16,Critical,90,0
Property,305,1913,17,Medium,25,0
Property,921,1206,32,High,71,0
Corporate,42,1862,1,Medium,26,0
Family,1056,346,48,Critical,24,0
Family,1003,3246,38,Medium,35,0
Tax,204,2420,8,Critical,54,0
Corporate,1438,4298,1,High,11,0
Corporate,1655,4570,2,High,26,0
Corporate,1973,4121,47,Medium,74,0
Tax,2318,4035,37,Low,103,0
Family,576,4326,24,Critical,105,0
Corporate,2091,70,27,Medium,39,0
Civil,1248,1488,20,High,115,0
Property,1450,1029,47,Medium,77,0
Property,1484,4492,21,Critical,115,0
Criminal,2802,3577,42,Medium,53,0
Criminal,1463,1094,37,Critical,105,0
Tax,32,173,35,High,69,0
Tax,2768,601,38,Low,108,0
Property,1872,807,15,Low,10,0
Civil,776,4906,46,High,28,0
Family,2846,3401,42,High,42,0
Family,901,2287,30,Medium,92,0
Tax,524,4278,4,High,45,0
Civil,2494,990,43,High,100,0
Tax,1444,667,39,Critical,86,0
Family,657,965,15,Medium,100,0
Tax,1105,4804,23,Critical,119,0
Corporate,171,1515,41,Medium,87,0
Tax,1517,2067,15,Medium,33,0
Property,75,1192,26,Low,108,0
Tax,2921,4238,12,Low,92,0
Property,2087,4919,18,High,34,0
Civil,693,2906,6,Medium,20,0
Family,602,4178,18,High,18,0
Criminal,2059,752,24,Critical,15,0
Criminal,1583,3107,38,High,67,0
Family,1651,3481,28,Critical,109,0
Criminal,2726,1677,15,Low,110,0
Tax,942,498,19,Low,38,0
Civil,669,1157,5,Critical,82,0
Civil,2693,3973,4,Critical,106,0
Family,2775,996,17,Critical,96,0
Criminal,938,256,10,High,88,0
Tax,2255,2543,12,Critical,20,0
Civil,898,4063,5,Medium,32,0
Civil,1059,617,7,Critical,35,0
Corporate,882,1722,44,Low,10,0
Corporate,336,2196,23,Critical,103,0
Civil,2625,2577,2,Low,90,0
Family,2404,184,30,Low,56,0
Property,1846,2344,49,High,119,0
Property,424,3059,45,Critical,50,0
Tax,2377,589,37,Low,32,0
Civil,778,3348,5,Medium,109,0
Civil,2362,160,20,Critical,114,0
Civil,359,705,26,Critical,14,0
Family,2127,706,44,Low,108,0
Corporate,2061,3300,44,High,59,0
Civil,802,2783,39,High,18,0
Civil,1675,3610,6,Critical,13,0
Criminal,1762,2058,29,Critical,80,0
Family,407,1094,10,High,74,0
Tax,1817,2245,16,High,89,0
Civil,1653,1361,34,Medium,66,0
Criminal,1029,1709,31,Critical,34,0
Property,1878,3030,36,Critical,67,0
Tax,1591,383,41,Critical,15,0
Civil,803,1087,5,High,111,0
Civil,1113,2660,33,Low,23,0
Criminal,2945,3769,43,Medium,72,0
Family,1833,2050,19,High,110,0
Civil,1128,637,32,High,84,0
Property,2080,4474,23,Medium,74,0
Civil,1628,3166,3,Critical,61,0
Property,777,2002,1,Low,115,0
Tax,1501,213,36,Medium,74,0
Tax,1794,4478,41,Low,109,0
Corporate,2352,1139,28,Critical,17,0
Corporate,1583,4222,48,Low,105,0
Property,1645,546,39,Critical,106,0
Family,2292,1972,5,High,17,0
Civil,1538,4899,13,Critical,23,0
Civil,358,1802,11,Medium,33,0
Corporate,2332,2693,46,Medium,73,0
Property,1440,2417,22,Critical,114,0
Civil,155,3744,49,Critical,102,0
Civil,796,2609,23,High,34,0
Family,1603,3546,12,High,15,0
Criminal,1257,3869,21,Critical,10,0
Corporate,1225,1654,19,Low,96,0
Corporate,1788,3029,5,High,114,0
Criminal,246,113,24,Medium,42,0
Civil,1389,3814,30,High,23,0
Family,1351,3386,8,High,72,0
Family,861,2966,2,High,65,0
Corporate,211,108,49,High,71,0
Family,363,2570,34,Critical,37,0
Tax,540,2834,23,High,38,0
Criminal,412,1465,3,Low,116,0
Civil,1926,4641,24,High,113,0
Tax,361,1850,18,High,32,0
Criminal,1218,2761,47,Medium,53,0
Property,1295,574,37,High,47,0
Corporate,929,3784,49,Medium,58,0
Family,671,2454,31,Medium,52,0
Property,1280,700,14,Critical,19,0
Family,663,1651,1,Medium,36,0
Tax,2528,222,14,Medium,17,0
Civil,225,4562,41,Low,117,0
Civil,1923,3938,5,Low,77,0
Civil,487,3159,31,Medium,94,0
Family,859,4893,31,Critical,94,0
Property,2334,2245,30,Low,39,0
Civil,2086,1706,36,Low,22,0
Property,2838,848,1,Critical,67,0
Family,1254,4674,3,High,12,0
Tax,916,2042,20,Low,93,0
Property,422,122,43,Medium,109,0
Tax,1705,1577,48,Medium,113,0
Family,2476,4231,43,Medium,14,0
Family,2408,4974,21,Critical,31,0
Corporate,2557,4107,30,Medium,67,0
Family,2211,2531,42,High,75,0
Family,945,123,44,Critical,98,0
Criminal,964,3458,30,Low,49,0
Civil,384,2877,5,Critical,97,0
Corporate,2661,826,10,Medium,14,0
Corporate,1551,4675,24,Critical,25,0
Corporate,2702,2094,45,Critical,24,0
Criminal,2367,546,39,Critical,86,0
Tax,2902,3456,48,Critical,84,0
Family,658,317,6,High,89,0
Civil,2709,4892,10,Critical,27,0
Property,1200,380,42,Medium,98,0
Tax,356,3737,43,Low,56,0
Family,1468,4619,10,High,111,0
Criminal,2287,1996,25,Critical,113,0
Family,1451,2097,14,Low,13,0
Family,1156,3431,47,High,62,0
Criminal,2713,2193,39,Medium,67,0
Corporate,1810,4711,13,Medium,94,0
Corporate,1561,1609,11,Low,84,0
Civil,1944,1409,39,Critical,67,0
Civil,2945,3534,11,Low,68,0
Corporate,1262,282,46,High,43,0
Tax,1986,3003,49,Low,39,0
Property,2505,2939,16,Low,63,0
Family,422,1883,33,Critical,77,0
Property,855,21,41,Medium,87,0
Family,2993,1953,41,Critical,84,0
Corporate,1942,413,32,Medium,77,0
Civil,2425,325,10,Critical,35,0
Tax,79,549,15,Medium,12,0
Civil,2993,4643,16,Critical,66,0
Property,1426,3399,43,Medium,46,0
Civil,1080,984,27,Medium,47,0
Corporate,829,4039,49,Medium,50,0
Tax,1822,690,45,Medium,13,0
Property,2726,4088,32,Critical,35,0
Tax,1393,2272,6,High,48,0
Family,2378,2692,47,Medium,118,0
Civil,1595,1733,48,Medium,115,0
Tax,2243,4064,36,Medium,117,0
Criminal,2393,4836,8,Medium,51,0
Civil,30,655,25,Medium,20,0
Family,1049,3519,7,Low,20,0
Tax,1314,4672,17,Low,63,0
Property,92,1137,48,Medium,111,0
Family,2560,2174,30,Medium,47,0
Criminal,1899,4243,2,Medium,29,0
Tax,2299,57,17,High,35,0
Corporate,181,1652,4,Critical,111,0
Civil,673,4313,26,Medium,85,0
Property,655,3795,14,High,102,0
Corporate,246,2074,8,High,23,0
Tax,225,4105,5,Medium,59,0
Tax,1044,3423,5,Critical,34,0
Family,2724,538,5,Low,64,0
Tax,2785,2261,27,Medium,60,0
Property,1551,2383,5,Medium,115,0
Corporate,1608,1061,3,Low,115,0
Property,1110,4735,38,Critical,112,0
Criminal,1557,1414,30,Low,99,0
Criminal,751,2889,1,Medium,19,0
Civil,1637,3696,8,Medium,23,0
Civil,1789,3741,13,High,14,0
Criminal,1592,3792,20,Low,66,0
Tax,669,254,6,High,31,0
Property,2183,3160,48,High,84,0
Criminal,194,466,8,High,38,0
Civil,244,4725,30,High,16,0
Criminal,1124,27,49,Low,27,0
Tax,119,4577,40,Low,40,0
Criminal,1825,1019,15,Low,52,0
Property,2951,1354,10,Medium,93,0
Corporate,1281,153,33,Critical,44,0
Tax,1132,2452,9,High,80,0
Civil,637,75,49,Medium,103,0
Property,378,3205,33,Low,13,0
Criminal,2971,1131,9,Low,60,0
Criminal,275,3199,14,Medium,103,0
Corporate,301,1543,32,High,39,0
Civil,2060,163,37,Low,103,0
Civil,432,2936,6,High,62,0
Family,1495,2123,5,High,91,0
Civil,1225,639,4,Critical,116,0
Corporate,2975,1906,48,Low,119,0
Family,1109,2040,16,Medium,83,0
Family,1644,1428,10,Critical,23,0
Criminal,1156,2941,31,High,45,0
Criminal,313,4754,31,Medium,96,0
Civil,546,3393,14,Critical,21,0
Family,2695,3496,13,Critical,85,0
Criminal,1331,856,4,Critical,43,0
Corporate,641,3922,46,High,35,0
Criminal,779,1605,26,High,15,0
Tax,1322,4895,24,Low,110,0
Tax,1886,856,9,Critical,62,0
Criminal,429,2577,35,Medium,24,0
Family,1556,2879,42,High,115,0
Family,2054,4380,15,Critical,112,0
Property,2163,1417,24,Medium,28,0
Tax,349,3842,31,High,113,0
Corporate,1085,4417,19,Medium,56,0
Family,365,3450,2,Medium,96,0
Civil,2128,824,2,Low,109,0
Tax,203,1095,41,High,86,0
Corporate,1671,4214,36,High,104,0
Corporate,530,2660,37,High,70,0
Family,2153,3104,34,High,110,0
Corporate,2393,1433,39,Low,99,0
Family,1886,4472,19,Low,116,0
Criminal,1926,1683,38,Critical,61,0
Tax,1693,2995,23,High,27,0
Property,1748,4126,16,Medium,69,0
Criminal,1808,4196,46,Low,56,0
Tax,726,2073,44,Medium,66,0
Family,761,2440,6,Medium,42,0
Tax,1124,2548,26,Medium,113,0
Family,2931,4337,22,Critical,41,0
Criminal,2743,1960,45,Critical,13,0
Civil,681,3172,47,High,50,0
Civil,1124,1966,24,Low,28,0
Tax,75,534,46,High,16,0
Civil,1100,240,40,Critical,108,0
Family,1475,247,21,Critical,35,0
Corporate,2226,2357,30,Medium,117,0
Family,2987,4408,11,High,96,0
Corporate,485,3284,9,Medium,107,0
Criminal,1692,975,12,Critical,60,0
Property,2954,1517,26,High,65,0
Corporate,995,1300,38,High,80,0
Civil,2050,1998,3,Low,84,0
Family,898,1549,33,Critical,60,0
Criminal,1558,4503,15,Critical,17,0
Civil,1030,2682,47,Low,22,0
Criminal,803,2433,5,Critical,41,0
Property,2321,2725,24,Medium,114,0
Family,2551,3555,11,Medium,43,0
Tax,2459,4304,33,Medium,27,0
Family,1156,937,23,High,88,0
Property,2566,1221,10,Medium,64,0
Family,1090,2442,43,Critical,52,0
Tax,1707,1641,28,Low,33,0
Corporate,1573,779,39,Medium,30,0
Criminal,426,4309,17,Medium,27,0
Tax,2373,1508,44,High,23,0
Civil,136,4278,26,Critical,62,0
Property,2937,4391,25,Low,28,0
Corporate,983,4479,36,Critical,86,0
Civil,2607,1685,12,Medium,66,0
Civil,1878,2022,3,Critical,73,0
Property,963,479,29,Low,89,0
Corporate,317,3041,44,Medium,11,0
Civil,735,2310,24,Critical,66,0
Civil,2073,1385,19,Low,43,0
Corporate,1514,3221,13,Medium,58,0
Family,244,4772,16,Medium,99,0
Civil,1334,1403,40,Critical,63,0
Criminal,2809,2155,27,High,31,0
Corporate,2007,4857,6,High,93,0
Civil,1512,3052,42,Low,102,0
Property,1854,3729,10,Critical,91,0
Tax,373,1541,38,Low,102,0
Criminal,223,1643,8,Critical,115,0
Tax,187,701,18,Low,53,0
Tax,494,3154,32,Low,100,0
Civil,2181,3281,17,Critical,44,0
Criminal,2111,4716,42,High,38,0
Criminal,2716,3439,2,Low,15,0
Family,1779,1887,44,Critical,46,0
Tax,2402,3629,20,Critical,98,0
Criminal,2768,1219,10,Critical,94,0
Family,621,2843,9,Medium,67,0
Corporate,2218,2968,48,Critical,73,0
Family,2551,3998,39,Critical,40,0
Property,1084,3645,41,Medium,113,0
Civil,913,4598,25,Medium,59,0
Corporate,92,188,25,High,89,0
Corporate,1140,2041,24,Critical,69,0
Property,333,2214,6,Low,23,0
Family,1114,458,30,Medium,79,0
Civil,425,3280,10,Medium,20,0
Family,363,4275,39,High,36,0
Criminal,2863,4929,31,High,111,0
Family,440,2469,18,High,78,0
Corporate,2361,4701,43,Critical,88,0
Civil,495,883,33,Critical,47,0
Family,109,159,19,Critical,71,0
Civil,2861,4443,23,Medium,62,0
Civil,1130,244,5,High,89,0
Criminal,2007,577,26,Medium,27,0
Criminal,762,1593,29,Low,106,0
Corporate,1847,405,24,Critical,108,0
Property,1593,540,6,Medium,61,0
Civil,1414,3992,39,Low,33,0
Property,2154,2854,4,Medium,108,0
Corporate,2586,3162,48,Low,16,0
Civil,1217,1853,42,Medium,23,0
Civil,1228,4562,26,Medium,59,0
Tax,2539,3181,15,Critical,103,0
Property,1641,3521,13,Medium,33,0
Family,2322,4222,40,Medium,88,0
Criminal,151,1519,22,High,22,0
Family,214,2983,13,Medium,28,0
Property,61,1497,39,Critical,38,0
Criminal,1027,923,17,Medium,31,0
Family,2016,1651,36,Critical,11,0
Tax,2839,4006,39,High,112,0
Criminal,598,1190,48,Critical,86,0
Civil,2387,2347,25,High,45,0
Family,1425,4139,34,High,47,0
Criminal,1709,1764,21,High,27,0
Tax,859,2059,25,High,60,0
Criminal,1649,139,25,High,24,0
Criminal,1109,3877,22,Critical,108,0
Tax,820,1695,23,High,61,0
Family,2541,1340,25,High,26,0
Corporate,2755,4970,14,High,86,0
Family,2747,1035,14,High,31,0
Property,2775,4563,26,High,63,0
Tax,1023,1763,40,Low,61,0
Family,107,1962,30,Medium,113,0
Criminal,2611,3561,26,Medium,94,0
Tax,137,1466,38,High,99,0
Civil,1326,3636,22,High,55,0
Family,2841,3914,39,Low,13,0
Tax,2092,1744,39,High,16,0
Family,399,2292,34,Low,19,0
Tax,2282,4082,25,Medium,24,0
Criminal,2034,4301,36,Critical,35,0
Civil,1733,91,13,Medium,89,0
Civil,2942,4189,29,Critical,49,0
Property,470,2220,42,Critical,107,0
Tax,2936,2163,9,Critical,70,0
Family,256,3777,15,High,90,0
Civil,2605,3201,31,Low,111,0
Civil,2431,1501,44,Critical,25,0
Corporate,652,2895,27,Low,107,0
Corporate,1054,4880,31,Medium,102,0
Civil,1606,4099,10,Critical,27,0
Tax,1673,1116,37,Medium,84,0
Property,1214,4327,7,Low,85,0
Civil,190,743,32,Low,110,0
Criminal,900,3259,11,Medium,11,0
Family,1775,2398,48,Low,63,0
Property,1204,4866,45,Medium,27,0
Criminal,473,3234,28,Low,63,0
Property,1820,2891,4,High,47,0
Criminal,1524,4509,48,Medium,106,0
Family,492,4627,45,Critical,82,0
Family,502,4801,31,Critical,24,0
Corporate,2634,3939,29,Critical,73,0
Tax,109,1740,33,Low,101,0
Criminal,1092,3419,4,Medium,17,0
Corporate,269,1877,47,Low,55,0
Criminal,586,2785,26,Critical,109,0
Corporate,619,2416,31,High,48,0
Family,1390,3784,31,Critical,61,0
Property,1914,4041,27,Critical,17,0
Corporate,2005,3906,25,Critical,115,0
Criminal,1333,2582,48,High,59,0
Criminal,1169,2466,36,High,59,0
Tax,2346,3687,49,Medium,92,0
Family,1969,2281,31,High,77,0
Criminal,364,3637,43,Medium,36,0
Civil,341,1332,37,High,86,0
Property,1106,1884,45,Medium,47,0
Corporate,2771,2325,44,Critical,30,0
Tax,63,1827,23,High,99,0
Property,1871,2761,35,Low,54,0
Family,415,3356,4,Low,67,0
Tax,278,1017,28,Medium,32,0
Corporate,1164,2339,42,High,63,0
Corporate,1463,3227,41,High,39,0
Civil,1232,618,42,Low,104,0
Family,823,1103,13,High,104,0
Tax,881,3601,1,High,25,0
Tax,2951,3106,12,Medium,61,0
Criminal,405,2322,43,Critical,115,0
Civil,753,2804,40,Low,50,0
Civil,1640,741,26,Critical,80,0
Tax,1943,1174,46,High,90,0
Tax,231,36,46,High,33,0
Property,2522,1011,23,Medium,29,0
Property,1972,4993,49,Critical,112,0
Property,2374,2252,22,Critical,36,0
Civil,1361,3482,28,Medium,11,0
Criminal,522,1466,17,Critical,69,0
Corporate,367,1485,6,Medium,60,0
Property,1998,3787,14,Medium,10,0
Criminal,1895,3647,17,High,107,0
Family,821,3103,38,High,100,0
Property,1546,1563,5,High,110,0
Corporate,2052,99,13,Medium,15,0
Family,2394,3307,48,High,47,0
Family,971,1291,9,Low,63,0
Corporate,2703,1584,44,Low,69,0
Property,2152,1733,42,High,36,0
Civil,88,1029,26,Medium,89,0
Corporate,2463,792,13,Low,71,0
Corporate,2092,502,19,High,72,0
Corporate,1284,2412,48,Low,108,0
Family,2276,3199,17,Low,100,0
Criminal,1407,1601,16,Low,44,0
Civil,64,2541,30,Critical,67,0
Property,191,1125,32,Low,70,0
Property,2876,3729,14,High,45,0
Criminal,924,3381,48,Low,111,0
Corporate,500,4290,15,High,101,0
Civil,2608,861,12,Low,65,0
Property,2869,3554,37,Low,76,0
Tax,2929,1892,11,Critical,66,0
Property,1476,3525,5,Low,50,0
Corporate,377,3340,11,High,40,0
Tax,723,2748,34,Critical,12,0
Criminal,964,974,19,Critical,47,0
Civil,942,1615,26,Low,62,0
Criminal,176,2308,26,Low,61,0
Criminal,1741,4455,17,Medium,33,0
Civil,704,763,31,Low,35,0
Civil,1469,1514,19,Medium,114,0
Property,2764,3366,44,High,101,0
Property,1547,4130,20,Low,82,0
Civil,1309,2008,23,Low,46,0
Tax,715,227,25,Medium,100,0
Family,1156,1103,28,Medium,57,0
Property,150,2432,37,Critical,76,0
Family,2496,3331,12,Critical,50,0
Tax,2427,4030,48,Low,58,0
Civil,71,416,1,High,37,0
Tax,58,1977,2,Critical,41,0
Property,995,4909,10,Critical,108,0
Criminal,1945,228,34,Critical,80,0
Civil,2862,452,32,Medium,80,0
Corporate,2030,2676,25,Low,94,0
Family,2091,2456,10,Medium,41,0
Tax,949,4698,1,High,47,0
Civil,847,4547,32,Medium,29,0
Tax,2902,4466,37,Low,17,0
Civil,1538,153,12,Medium,77,0
Property,1242,658,49,High,35,0
Property,901,1248,18,Low,88,0
Property,324,3389,30,Low,79,0
Tax,893,4232,13,Low,57,0
Corporate,2625,4039,3,Low,105,0
Property,1067,1310,21,High,78,0
Civil,2712,2216,42,Low,117,0
Property,624,1723,14,High,55,0
Criminal,1212,2246,40,High,67,0
Property,1547,2215,10,Medium,79,0
Tax,1382,4580,2,Medium,76,0
Corporate,643,995,45,Low,38,0
Criminal,1902,1048,37,Critical,92,0
Tax,1633,545,11,Critical,19,0
Tax,1613,2347,1,Low,80,0
Tax,1622,2566,26,High,118,0
Civil,1185,855,42,Medium,74,0
Tax,494,2503,13,Low,74,0
Civil,1509,2883,28,Low,26,0
Tax,1320,2754,36,High,31,0
Family,2876,1558,21,Medium,109,0
Criminal,2472,1930,10,Critical,23,0
Family,2323,4069,12,Critical,15,0
Tax,597,2662,46,Low,39,0
Criminal,67,1323,27,Low,119,0
Criminal,274,151,3,Low,56,0
Corporate,50,412,28,Low,106,0
Family,1163,4596,2,Low,29,0
Corporate,1659,3604,28,Critical,25,0
Criminal,423,2695,31,Low,77,0
Civil,1463,2486,43,Medium,43,0
Criminal,1016,1245,21,High,10,0
Corporate,1701,2725,7,Critical,86,0
Family,2085,481,31,High,57,0
Tax,2405,1821,14,High,17,0
Tax,1940,3293,39,Low,31,0
Family,319,4005,39,High,77,0
Tax,1816,171,9,Medium,43,0
Tax,2588,2289,23,Low,69,0
Corporate,941,4194,12,Critical,54,0
Family,390,1805,29,Medium,46,0
Property,1652,3480,38,Critical,32,0
Civil,2793,1856,39,Low,93,0
Civil,248,1417,22,Low,33,0
Tax,2483,1095,4,Critical,100,0
Civil,2045,4526,48,High,22,0
Family,2070,2028,7,Critical,78,0
Family,2074,1513,40,Medium,89,0
Criminal,2830,1155,8,High,69,0
Criminal,861,1568,35,Low,47,0
Civil,1823,804,9,Medium,57,0
Property,1821,1440,13,Medium,102,0
Criminal,2871,4858,39,Low,35,0
Criminal,1273,2455,20,High,95,0
Family,624,3501,21,Low,97,0
Property,2184,3671,47,Medium,86,0
Tax,610,2083,19,Medium,116,0
Civil,2686,2040,2,Medium,94,0
Criminal,1777,4777,44,Low,10,0
Property,2085,2169,40,Critical,13,0
Property,2883,970,30,Medium,76,0
Civil,2266,44,23,Medium,96,0
Property,110,37,40,High,89,0
Property,2185,3845,13,Critical,118,0
Property,1374,589,33,High,22,0
Criminal,1632,1375,32,Medium,48,0
Civil,2763,1612,28,Critical,40,0
Property,375,850,24,High,33,0
Property,1916,3102,42,Low,88,0
Criminal,2405,891,28,High,14,0
Civil,584,854,30,Critical,58,0
Family,331,3332,41,High,95,0
Criminal,229,4972,29,Critical,95,0
Civil,2970,3136,34,Critical,20,0
Property,1092,989,22,High,33,0
Civil,336,612,25,High,54,0
Civil,1686,274,14,Low,83,0
Tax,1901,2134,10,High,43,0
Civil,2545,2985,10,Critical,20,0
Family,2256,2681,8,Medium,66,0
Civil,2722,622,14,High,116,0
Family,1876,1085,45,High,38,0
Property,1794,1859,38,Critical,31,0
Family,305,2451,32,Medium,42,0
Property,1205,985,45,Low,81,0
Property,1431,1757,32,Medium,58,0
Family,2698,504,3,Critical,105,0
Criminal,667,4154,20,Critical,113,0
Corporate,1805,30,13,Critical,118,0
Civil,959,4739,23,Critical,32,0
Tax,1910,4524,19,Medium,78,0
Corporate,212,2047,16,Medium,104,0
Civil,1874,3384,36,Medium,38,0
Civil,101,3107,35,High,15,0
Property,2796,3058,47,Critical,61,0
Civil,1706,624,47,High,98,0
Tax,1325,988,7,High,98,0
Civil,2803,4280,37,High,104,0
Family,2346,456,8,Low,23,0
Corporate,1073,2794,25,High,26,0
Family,2655,1829,23,Critical,89,0
Tax,844,4929,10,High,37,0
Civil,1556,2789,30,Critical,18,0
Tax,2224,1849,33,Low,75,0
Property,2967,312,11,Medium,13,0
Family,339,3971,35,Critical,29,0
Family,2595,481,27,High,50,0
Criminal,2091,3904,3,Critical,45,0
Civil,161,3253,47,High,110,0
Property,1907,2111,49,Medium,15,0
Family,2832,3956,8,Critical,74,0
Family,2516,2959,13,High,118,0
Property,2820,4826,42,Critical,59,0
Tax,769,108,3,Medium,73,0
Tax,824,1683,20,Medium,12,0
Civil,2340,3321,46,Medium,46,0
Criminal,2720,2740,45,Critical,118,0
Family,287,2957,35,Critical,115,0
Criminal,1287,441,13,High,12,0
Tax,2486,3769,20,Medium,116,0
Tax,1881,4991,24,High,42,0
Corporate,1004,4453,9,Critical,68,0
Civil,1077,285,30,Low,24,0
Corporate,300,2870,25,Medium,65,0
Corporate,1148,1398,16,High,70,0
Corporate,171,1834,8,Medium,77,0
Civil,931,2284,44,High,88,0
Civil,303,4436,28,High,80,0
Property,2353,869,12,Low,77,0
Criminal,494,4834,24,Critical,71,0
Criminal,1261,3756,49,Medium,76,0
Property,1349,1011,29,Critical,32,0
Property,317,3784,15,High,23,0
Tax,905,1828,18,Critical,15,0
Corporate,2022,3294,7,Low,42,0
Property,2955,736,13,Critical,18,0
Family,2257,915,19,High,21,0
Criminal,1150,1196,48,High,108,0
Property,1244,3773,43,Low,104,0
Family,476,1796,5,Medium,60,0
Family,2862,2824,26,Low,12,0
Family,2638,3412,2,Medium,65,0
Tax,2561,1479,33,High,55,0
Tax,2926,2563,48,Critical,45,0
Family,751,4657,37,High,22,0
Tax,2193,4750,25,Low,22,0
Corporate,2612,3573,25,Low,67,0
Family,1381,1369,39,Critical,107,0
Corporate,436,3006,30,Low,94,0
Corporate,1755,3350,41,High,43,0
Family,723,4813,4,Critical,115,0
Criminal,524,2142,19,Medium,52,0
Family,977,3648,27,Low,37,0
Family,52,517,47,Medium,65,0
Tax,1158,3507,39,Critical,56,0
Family,1728,741,24,Low,44,0
Criminal,587,1383,37,Critical,87,0
Tax,1646,327,25,Low,91,0
Civil,970,2771,29,Low,28,0
Civil,1275,903,31,Low,92,0
Corporate,2932,1284,45,Critical,106,0
Corporate,2968,4368,35,Critical,60,0
Criminal,1686,2464,28,High,108,0
Property,107,3053,38,High,29,0
Civil,1375,1072,44,Critical,38,0
Corporate,836,513,4,Critical,81,0
Civil,1071,2041,28,Low,98,0
Criminal,797,1767,31,High,90,0
Criminal,483,3322,23,High,74,0
Property,2354,2299,14,Critical,47,0
Property,1477,951,28,High,58,0
Tax,1529,1945,14,Critical,103,0
Criminal,1080,776,1,High,37,0
Corporate,2591,1074,43,Medium,42,0
Civil,1918,3950,32,Medium,22,0
Family,2541,4571,41,High,97,0
Property,2884,4374,18,Critical,53,0
Family,2901,4546,5,Medium,110,0
Corporate,392,3473,42,Low,95,0
Property,2828,2536,15,Critical,61,0
Family,554,1984,42,Medium,86,0
Corporate,1247,666,16,Low,113,0
Civil,1515,4562,36,Medium,85,0
Corporate,2133,2850,36,Medium,50,0
Tax,1283,214,40,Low,58,0
Property,2566,1165,30,Low,119,0
Criminal,1885,2529,38,High,16,0
Civil,751,4311,23,Medium,45,0
Family,2013,2103,11,Low,102,0
Property,1237,4760,25,High,102,0
Criminal,1478,3372,45,Low,35,0
Corporate,1428,341,43,High,36,0
Criminal,2118,2307,2,High,33,0
Property,1537,3151,35,Low,104,0
Property,1033,4765,47,Low,80,0
Tax,2337,1722,24,Medium,90,0
Tax,2518,2232,13,Medium,42,0
Criminal,955,850,42,High,107,0
Corporate,885,208,37,Low,27,0
Criminal,113,4072,30,Medium,114,0
Property,2123,111,11,High,14,0
Property,2517,3897,23,Medium,10,0
Family,1572,1931,46,High,80,0
Tax,1015,2356,28,Medium,107,0
Family,1898,1600,29,Low,12,0
Civil,165,1428,15,Critical,45,0
Property,1236,194,45,Critical,44,0
Family,1762,493,3,High,60,0
Criminal,1225,3452,9,Critical,21,0
Tax,938,289,8,Critical,24,0
Tax,2938,2064,47,High,13,0
Corporate,2865,3215,33,Critical,65,0
Criminal,619,713,34,Medium,106,0
Corporate,1981,4491,9,Medium,25,0
Family,985,1435,17,Medium,102,0
Civil,2767,2103,41,Low,15,0
Criminal,2616,1255,1,Medium,72,0
Criminal,1173,3987,40,Critical,110,0
Criminal,1361,1991,5,Critical,32,0
Corporate,2785,153,30,Medium,86,0
Family,1583,2932,11,Low,53,0
Criminal,2372,4805,28,Medium,10,0
Criminal,1836,860,38,Low,66,0
Tax,2130,1481,17,Low,85,0
Civil,835,4954,23,Medium,36,0
Tax,1485,3492,18,Low,34,0
Tax,81,4863,37,Critical,95,0
Civil,2805,2895,27,Medium,71,0
Family,101,2529,25,Critical,107,0
Tax,57,985,5,Low,27,0
Family,498,2058,19,High,114,0
Tax,793,4260,27,Medium,89,0
Property,2963,1870,13,High,102,0
Civil,2989,754,7,High,39,0
Tax,2624,2473,26,High,39,0
Property,1454,3036,14,High,93,0
Corporate,2278,3022,27,Critical,56,0
Property,849,2335,8,Medium,31,0
Criminal,1519,4023,31,Critical,51,0
Tax,1705,2333,35,Low,43,0
Property,589,4643,27,Medium,72,0
Family,408,3183,4,Medium,13,0
Corporate,1948,3339,42,Critical,40,0
Tax,1105,3481,4,Low,60,0
Criminal,108,449,18,High,59,0
